Province,Division,District,Indicator,Area Type,Total,Male,Female
Punjab,Sargodha Division,Khushab,Unemployment Rate (%),Urban,6.6,5.4,12.1
Punjab,Sargodha Division,Khushab,Employment to Population Ratio (%),Rural,41.6,63.6,22.8
Punjab,Sargodha Division,Khushab,Employment to Population Ratio (%),Urban,36.9,61.5,11.8
Punjab,Sargodha Division,Khushab,Agriculture Employee (%),Rural,56..0,44.9,82.3
Punjab,Sargodha Division,Khushab,Agriculture Employee (%),Urban,25.6,20.4,53.2
Punjab,Sargodha Division,Khushab,Industry Employee (%),Rural,18.6,23.8,6.1
Punjab,Sargodha Division,Khushab,Industry Employee (%),Urban,23.7,27.4,4
Punjab,Sargodha Division,Khushab,Services Employee (%),Rural,25.5,31.3,11.7
Punjab,Sargodha Division,Khushab,Services Employee (%),Urban,50.7,52.2,42.8
Punjab,Sargodha Division,Khushab,Formal Activity (%),Rural,21.3,19.2,37.1
Punjab,Sargodha Division,Khushab,Formal Activity (%),Urban,22.2,19.4,47.4
Punjab,Sargodha Division,Khushab,Informal Activity (%),Rural,78.7,80.8,62.9
Punjab,Sargodha Division,Khushab,Informal Activity (%),Urban,77.8,80.6,52.6
Punjab,Sargodha Division,Khushab,Employers (%),All Areas,0.5,0.6,-
Punjab,Sargodha Division,Khushab,Own Account Workers (%),All Areas,40.2,49.3,14.6
Punjab,Sargodha Division,Khushab,Contributing Family  Workers (%),All Areas,26,11.8,66
Punjab,Sargodha Division,Khushab,Employees (%),All Areas,33.3,38.3,19.4
Punjab,Sargodha Division,Khushab,Literacy Rate (%),Rural,57.9,76,42.5
Punjab,Sargodha Division,Khushab,Literacy Rate (%),Urban,71.8,81.9,61.4
Punjab,Sargodha Division,Khushab,Underemployment Rate (%),Rural,1.5,1.8,0.8
Punjab,Sargodha Division,Khushab,Underemployment Rate (%),Urban,0.6,-,4
Punjab,Sargodha Division,Khushab,Mean Hours Work/Per Week,Rural,44.3,49.9,31.2
Punjab,Sargodha Division,Khushab,Mean Hours Work/Per Week,Urban,48.2,51.6,30
Punjab,Sargodha Division,Khushab,Total Population,Rural,927412,460413,466942
Punjab,Sargodha Division,Khushab,Total Population,Urban,352960,177061,175849
Punjab,Sargodha Division,Mianwali,Working Age Population,Rural,990000,475000,514000
Punjab,Sargodha Division,Mianwali,Working Age Population,Urban,263000,132000,131000
Punjab,Sargodha Division,Mianwali,Labour Force,Rural,519700,303700,216000
Punjab,Sargodha Division,Mianwali,Labour Force,Urban,110400,86000,24400
Punjab,Sargodha Division,Mianwali,Employed,Rural,469600,278600,191100
Punjab,Sargodha Division,Mianwali,Employed,Urban,98700,79000,19700
Punjab,Sargodha Division,Mianwali,Unemployed,Rural,50100,25200,25000
Punjab,Sargodha Division,Mianwali,Unemployed,Urban,11700,7000,4700
Punjab,Sargodha Division,Mianwali,Refined Participation Rate (%),Rural,52.5,63.9,42
Punjab,Sargodha Division,Mianwali,Refined Participation Rate (%),Urban,42,65.2,18.7
Punjab,Sargodha Division,Mianwali,Unemployment Rate (%),Rural,9.6,8.3,11.6
Punjab,Sargodha Division,Mianwali,Unemployment Rate (%),Urban,10.6,8.2,19.2
Punjab,Sargodha Division,Mianwali,Employment to Population Ratio (%),Rural,47.5,58.6,37.1
Punjab,Sargodha Division,Mianwali,Employment to Population Ratio (%),Urban,37.6,59.9,15.1
Punjab,Sargodha Division,Mianwali,Agriculture Employee (%),Rural,56.2,38.6,81.9
Punjab,Sargodha Division,Mianwali,Agriculture Employee (%),Urban,10.5,5.5,30.6
Punjab,Sargodha Division,Mianwali,Industry Employee (%),Rural,16.2,21.4,8.5
Punjab,Sargodha Division,Mianwali,Industry Employee (%),Urban,23.3,29,0.4
Punjab,Sargodha Division,Mianwali,Services Employee (%),Rural,27.6,40,9.6
Punjab,Sargodha Division,Mianwali,Services Employee (%),Urban,66.2,65.5,69
Punjab,Sargodha Division,Mianwali,Formal Activity (%),Rural,26.5,25.9,29.3
Punjab,Sargodha Division,Mianwali,Formal Activity (%),Urban,28.1,24.2,49.5
Punjab,Sargodha Division,Mianwali,Informal Activity (%),Rural,73.5,74.1,70.7
Punjab,Sargodha Division,Mianwali,Informal Activity (%),Urban,71.9,75.8,50.5
Punjab,Sargodha Division,Mianwali,Employers (%),All Areas,0.4,0.6,0.2
Punjab,Sargodha Division,Mianwali,Own Account Workers (%),All Areas,41,46,32.5
Punjab,Sargodha Division,Mianwali,Contributing Family  Workers (%),All Areas,26.5,10.4,53.7
Punjab,Sargodha Division,Mianwali,Employees (%),All Areas,32.1,43,13.6
Punjab,Sargodha Division,Mianwali,Literacy Rate (%),Rural,56.1,74.1,39.4
Punjab,Sargodha Division,Mianwali,Literacy Rate (%),Urban,71.1,81.1,61.1
Punjab,Sargodha Division,Mianwali,Underemployment Rate (%),Rural,1.8,1.6,2.1
Punjab,Sargodha Division,Mianwali,Underemployment Rate (%),Urban,-,-,-
Punjab,Sargodha Division,Mianwali,Mean Hours Work/Per Week,Rural,46.8,52.7,38.1
Punjab,Sargodha Division,Mianwali,Mean Hours Work/Per Week,Urban,51.1,53.2,42.6
Punjab,Sargodha Division,Mianwali,Total Population,Rural,1214789,605990,608718
Punjab,Sargodha Division,Mianwali,Total Population,Urban,327812,165979,161784
Punjab,Sargodha Division,Sargodha,Working Age Population,Rural,2043000,974000,1068000
Punjab,Sargodha Division,Sargodha,Working Age Population,Urban,909000,454000,455000
Punjab,Sargodha Division,Sargodha,Labour Force,Rural,1019700,680100,339500
Punjab,Sargodha Division,Sargodha,Labour Force,Urban,345900,302100,43800
Punjab,Sargodha Division,Sargodha,Employed,Rural,912900,618300,294700
Punjab,Sargodha Division,Sargodha,Employed,Urban,316900,278000,38900
Punjab,Sargodha Division,Sargodha,Unemployed,Rural,106700,61900,44800
Punjab,Sargodha Division,Sargodha,Unemployed,Urban,29000,24100,4900
Punjab,Sargodha Division,Sargodha,Refined Participation Rate (%),Rural,49.9,69.8,31.8
Punjab,Sargodha Division,Sargodha,Refined Participation Rate (%),Urban,38.1,66.6,9.6
Punjab,Sargodha Division,Sargodha,Unemployment Rate (%),Rural,10.5,9.1,13.2
Punjab,Sargodha Division,Sargodha,Unemployment Rate (%),Urban,8.4,8,11.3
Punjab,Sargodha Division,Sargodha,Employment to Population Ratio (%),Rural,44.7,63.5,27.6
Punjab,Sargodha Division,Sargodha,Employment to Population Ratio (%),Urban,34.9,61.3,8.5
Punjab,Sargodha Division,Sargodha,Agriculture Employee (%),Rural,48.2,35.9,74
Punjab,Sargodha Division,Sargodha,Agriculture Employee (%),Urban,11.7,10.6,19.6
Punjab,Sargodha Division,Sargodha,Industry Employee (%),Rural,24.2,28.8,14.5
Punjab,Sargodha Division,Sargodha,Industry Employee (%),Urban,26.4,27.5,18.9
Punjab,Sargodha Division,Sargodha,Services Employee (%),Rural,27.6,35.3,11.5
Punjab,Sargodha Division,Sargodha,Services Employee (%),Urban,61.9,62,61.5
Punjab,Sargodha Division,Sargodha,Formal Activity (%),Rural,20.8,16.9,40.8
Punjab,Sargodha Division,Sargodha,Formal Activity (%),Urban,18.5,16.9,30.8
Punjab,Sargodha Division,Sargodha,Informal Activity (%),Rural,79.2,83.1,59.2
Punjab,Sargodha Division,Sargodha,Informal Activity (%),Urban,81.5,83.1,69.2
Punjab,Sargodha Division,Sargodha,Employers (%),All Areas,1.9,2.7,-
Punjab,Sargodha Division,Sargodha,Own Account Workers (%),All Areas,34.8,41.7,16.4
Punjab,Sargodha Division,Sargodha,Contributing Family  Workers (%),All Areas,26.2,13.9,59.3
Punjab,Sargodha Division,Sargodha,Employees (%),All Areas,37,41.8,24.3
Punjab,Sargodha Division,Sargodha,Literacy Rate (%),Rural,62.6,72.7,53.5
Punjab,Sargodha Division,Sargodha,Literacy Rate (%),Urban,79.8,85.6,74
Punjab,Sargodha Division,Sargodha,Underemployment Rate (%),Rural,1.7,1.9,1.3
Punjab,Sargodha Division,Sargodha,Underemployment Rate (%),Urban,0.5,-,4
Punjab,Sargodha Division,Sargodha,Mean Hours Work/Per Week,Rural,43.9,49.9,31.3
Punjab,Sargodha Division,Sargodha,Mean Hours Work/Per Week,Urban,51.3,53.3,37.4
Punjab,Sargodha Division,Sargodha,Total Population,Rural,2343519,1184103,1159234
Punjab,Sargodha Division,Sargodha,Total Population,Urban,1011998,512655,499137
Sindh,Badin Division,Badin,Working Age Population,Rural,994000,510000,483000
Sindh,Badin Division,Badin,Working Age Population,Urban,301000,161000,140000
Sindh,Badin Division,Badin,Labour Force,Rural,516200,389300,126900
Sindh,Badin Division,Badin,Labour Force,Urban,123700,110100,13600
Sindh,Badin Division,Badin,Employed,Rural,503000,383500,119500
Sindh,Badin Division,Badin,Employed,Urban,111900,100600,11300
Sindh,Badin Division,Badin,Unemployed,Rural,13200,5800,7400
Sindh,Badin Division,Badin,Unemployed,Urban,11800,9500,2300
Sindh,Badin Division,Badin,Refined Participation Rate (%),Rural,52,76.3,26.2
Sindh,Badin Division,Badin,Refined Participation Rate (%),Urban,41,68.4,9.7
Sindh,Badin Division,Badin,Unemployment Rate (%),Rural,2.6,1.5,5.8
Sindh,Badin Division,Badin,Unemployment Rate (%),Urban,9.6,8.6,17.1
Sindh,Badin Division,Badin,Employment to Population Ratio (%),Rural,50.6,75.2,24.7
Sindh,Badin Division,Badin,Employment to Population Ratio (%),Urban,37.1,62.5,8
Sindh,Badin Division,Badin,Agriculture Employee (%),Rural,76.2,71.3,91.8
Sindh,Badin Division,Badin,Agriculture Employee (%),Urban,16.6,12.3,54.8
Sindh,Badin Division,Badin,Industry Employee (%),Rural,10.1,12.4,2.6
Sindh,Badin Division,Badin,Industry Employee (%),Urban,29.2,29.7,25.2
Sindh,Badin Division,Badin,Services Employee (%),Rural,13.7,16.3,5.5
Sindh,Badin Division,Badin,Services Employee (%),Urban,54.2,58,20
Sindh,Badin Division,Badin,Formal Activity (%),Rural,20.2,19.3,30.8
Sindh,Badin Division,Badin,Formal Activity (%),Urban,25.5,24,50.5
Sindh,Badin Division,Badin,Informal Activity (%),Rural,79.8,80.7,69.2
Sindh,Badin Division,Badin,Informal Activity (%),Urban,74.5,76,49.5
Sindh,Badin Division,Badin,Employers (%),All Areas,0.1,0.1,-
Sindh,Badin Division,Badin,Own Account Workers (%),All Areas,46.6,56.8,8.7
Sindh,Badin Division,Badin,Contributing Family  Workers (%),All Areas,22.4,10.2,67.5
Sindh,Badin Division,Badin,Employees (%),All Areas,31,32.9,23.8
Sindh,Badin Division,Badin,Literacy Rate (%),Rural,38.7,53.4,23.3
Sindh,Badin Division,Badin,Literacy Rate (%),Urban,57.2,68.5,44.3
Sindh,Badin Division,Badin,Underemployment Rate (%),Rural,1.3,0.8,2.8
Sindh,Badin Division,Badin,Underemployment Rate (%),Urban,2,1.1,9.9
Sindh,Badin Division,Badin,Mean Hours Work/Per Week,Rural,45.3,48.3,35.7
Sindh,Badin Division,Badin,Mean Hours Work/Per Week,Urban,48.1,49.8,32.7
Sindh,Badin Division,Badin,Total Population,Rural,1414614,730394,684113
Sindh,Badin Division,Badin,Total Population,Urban,390344,200783,189476
Sindh,Banbhore Division,Thattah,Working Age Population,Rural,578000,301000,277000
Sindh,Banbhore Division,Thattah,Working Age Population,Urban,145000,77000,68000
Sindh,Banbhore Division,Thattah,Labour Force,Rural,248100,206300,41800
Sindh,Banbhore Division,Thattah,Labour Force,Urban,54900,52500,2400
Sindh,Banbhore Division,Thattah,Employed,Rural,239500,197800,41800
Sindh,Banbhore Division,Thattah,Employed,Urban,49700,47500,2100
Sindh,Banbhore Division,Thattah,Unemployed,Rural,8600,8600,-
Sindh,Banbhore Division,Thattah,Unemployed,Urban,5300,5000,300
Sindh,Banbhore Division,Thattah,Refined Participation Rate (%),Rural,42.9,68.6,15.1
Sindh,Banbhore Division,Thattah,Refined Participation Rate (%),Urban,37.9,68.5,3.6
Sindh,Banbhore Division,Thattah,Unemployment Rate (%),Rural,3.5,4.2,-
Sindh,Banbhore Division,Thattah,Unemployment Rate (%),Urban,9.6,9.5,11.9
Sindh,Banbhore Division,Thattah,Employment to Population Ratio (%),Rural,41.4,65.8,15.1
Sindh,Banbhore Division,Thattah,Employment to Population Ratio (%),Urban,34.3,62,3.1
Sindh,Banbhore Division,Thattah,Agriculture Employee (%),Rural,59.7,53,91.2
Sindh,Banbhore Division,Thattah,Agriculture Employee (%),Urban,8.7,9,-
Sindh,Banbhore Division,Thattah,Industry Employee (%),Rural,15.9,17.7,7.2
Sindh,Banbhore Division,Thattah,Industry Employee (%),Urban,21.7,21,36.5
Sindh,Banbhore Division,Thattah,Services Employee (%),Rural,24.5,29.3,1.5
Sindh,Banbhore Division,Thattah,Services Employee (%),Urban,69.7,70,63.5
Sindh,Banbhore Division,Thattah,Formal Activity (%),Rural,17.7,17.8,13.8
Sindh,Banbhore Division,Thattah,Formal Activity (%),Urban,31.9,32.5,19
Sindh,Banbhore Division,Thattah,Informal Activity (%),Rural,82.3,82.2,86.2
Sindh,Banbhore Division,Thattah,Informal Activity (%),Urban,68.1,67.5,81
Sindh,Banbhore Division,Thattah,Employers (%),All Areas,1.2,1.5,-
Sindh,Banbhore Division,Thattah,Own Account Workers (%),All Areas,30.7,33,17.6
Sindh,Banbhore Division,Thattah,Contributing Family  Workers (%),All Areas,13.5,4.5,63.9
Sindh,Banbhore Division,Thattah,Employees (%),All Areas,54.5,61,18.5
Sindh,Banbhore Division,Thattah,Literacy Rate (%),Rural,32.8,46.6,17.9
Sindh,Banbhore Division,Thattah,Literacy Rate (%),Urban,66.7,78.7,53.2
Sindh,Banbhore Division,Thattah,Underemployment Rate (%),Rural,0.2,-,1.1
Sindh,Banbhore Division,Thattah,Underemployment Rate (%),Urban,4,4.2,-
Sindh,Banbhore Division,Thattah,Mean Hours Work/Per Week,Rural,53.2,56.3,38.2
Sindh,Banbhore Division,Thattah,Mean Hours Work/Per Week,Urban,52.1,52.4,46.9
Sindh,Hyderabad Division,Dadu,Working Age Population,Rural,806000,410000,396000
Sindh,Hyderabad Division,Dadu,Working Age Population,Urban,292000,154000,138000
Sindh,Hyderabad Division,Dadu,Labour Force,Rural,353100,320600,32600
Sindh,Hyderabad Division,Dadu,Labour Force,Urban,116000,107600,8400
Sindh,Hyderabad Division,Dadu,Employed,Rural,346700,314900,31800
Sindh,Hyderabad Division,Dadu,Employed,Urban,109100,101000,8100
Sindh,Hyderabad Division,Dadu,Unemployed,Rural,6400,5600,800
Sindh,Hyderabad Division,Dadu,Unemployed,Urban,6900,6500,300
Sindh,Hyderabad Division,Dadu,Refined Participation Rate (%),Rural,43.8,78.1,8.2
Sindh,Hyderabad Division,Dadu,Refined Participation Rate (%),Urban,39.7,70,6.1
Sindh,Hyderabad Division,Dadu,Unemployment Rate (%),Rural,1.8,1.8,2.5
Sindh,Hyderabad Division,Dadu,Unemployment Rate (%),Urban,5.9,6.1,3.7
Sindh,Hyderabad Division,Dadu,Employment to Population Ratio (%),Rural,43,76.7,8
Sindh,Hyderabad Division,Dadu,Employment to Population Ratio (%),Urban,37.4,65.7,5.9
Sindh,Hyderabad Division,Dadu,Agriculture Employee (%),Rural,55.4,52.6,84
Sindh,Hyderabad Division,Dadu,Agriculture Employee (%),Urban,8.6,9.3,-
Sindh,Hyderabad Division,Dadu,Industry Employee (%),Rural,20.3,21.5,9.1
Sindh,Hyderabad Division,Dadu,Industry Employee (%),Urban,31,32.7,10.6
Sindh,Hyderabad Division,Dadu,Services Employee (%),Rural,24.2,26,6.9
Sindh,Hyderabad Division,Dadu,Services Employee (%),Urban,60.3,58,89.4
Sindh,Hyderabad Division,Dadu,Formal Activity (%),Rural,22.7,22.4,30.9
Sindh,Hyderabad Division,Dadu,Formal Activity (%),Urban,34.7,33.4,49.8
Sindh,Hyderabad Division,Dadu,Informal Activity (%),Rural,77.3,77.6,69.1
Sindh,Hyderabad Division,Dadu,Informal Activity (%),Urban,65.3,66.6,50.2
Sindh,Hyderabad Division,Dadu,Employers (%),All Areas,0.9,1,-
Sindh,Hyderabad Division,Dadu,Own Account Workers (%),All Areas,43.3,46.7,7.3
Sindh,Hyderabad Division,Dadu,Contributing Family  Workers (%),All Areas,11.7,6.9,62.1
Sindh,Hyderabad Division,Dadu,Employees (%),All Areas,44.1,45.4,30.6
Sindh,Hyderabad Division,Dadu,Literacy Rate (%),Rural,54.8,66.1,43.1
Sindh,Hyderabad Division,Dadu,Literacy Rate (%),Urban,77.2,87.9,65.2
Sindh,Hyderabad Division,Dadu,Underemployment Rate (%),Rural,0.7,0.6,2
Sindh,Hyderabad Division,Dadu,Underemployment Rate (%),Urban,0.4,0.4,-
Sindh,Hyderabad Division,Dadu,Mean Hours Work/Per Week,Rural,45.9,46.8,37.7
Sindh,Hyderabad Division,Dadu,Mean Hours Work/Per Week,Urban,51.2,52.6,34.5
Sindh,Hyderabad Division,Dadu,Total Population,Rural,1166984,599120,567705
Sindh,Hyderabad Division,Dadu,Total Population,Urban,383406,196580,186775
Sindh,Hyderabad Division,Hyderabad,Working Age Population,Rural,262000,142000,120000
Sindh,Hyderabad Division,Hyderabad,Working Age Population,Urban,1492000,766000,726000
Sindh,Hyderabad Division,Hyderabad,Labour Force,Rural,135900,108200,27700
Sindh,Hyderabad Division,Hyderabad,Labour Force,Urban,637300,566000,71300
Sindh,Hyderabad Division,Hyderabad,Employed,Rural,130400,105400,25000
Sindh,Hyderabad Division,Hyderabad,Employed,Urban,591700,543400,48400
Sindh,Hyderabad Division,Hyderabad,Unemployed,Rural,5500,2800,2700
Sindh,Hyderabad Division,Hyderabad,Unemployed,Urban,45500,22600,22900
Sindh,Hyderabad Division,Hyderabad,Refined Participation Rate (%),Rural,51.9,76.4,23
Sindh,Hyderabad Division,Hyderabad,Refined Participation Rate (%),Urban,42.4,73.9,9.8
Sindh,Hyderabad Division,Hyderabad,Unemployment Rate (%),Rural,4.1,2.6,9.8
Sindh,Hyderabad Division,Hyderabad,Unemployment Rate (%),Urban,7.1,4,32.2
Sindh,Hyderabad Division,Hyderabad,Employment to Population Ratio (%),Rural,49.8,74.5,20.8
Sindh,Hyderabad Division,Hyderabad,Employment to Population Ratio (%),Urban,39.7,70.9,6.7
Sindh,Hyderabad Division,Hyderabad,Agriculture Employee (%),Rural,58.4,54.2,76.2
Sindh,Hyderabad Division,Hyderabad,Agriculture Employee (%),Urban,1.7,1.6,2.9
Sindh,Hyderabad Division,Hyderabad,Industry Employee (%),Rural,23.3,23.6,22.3
Sindh,Hyderabad Division,Hyderabad,Industry Employee (%),Urban,36.1,35.5,42.7
Sindh,Hyderabad Division,Hyderabad,Services Employee (%),Rural,18.3,22.3,1.5
Sindh,Hyderabad Division,Hyderabad,Services Employee (%),Urban,62.2,62.9,54.4
Sindh,Hyderabad Division,Hyderabad,Formal Activity (%),Rural,17.7,18.8,8.3
Sindh,Hyderabad Division,Hyderabad,Formal Activity (%),Urban,26.3,25.5,35.5
Sindh,Hyderabad Division,Hyderabad,Informal Activity (%),Rural,82.3,81.2,91.7
Sindh,Hyderabad Division,Hyderabad,Informal Activity (%),Urban,73.7,74.5,64.5
Sindh,Hyderabad Division,Hyderabad,Employers (%),All Areas,1.3,1.5,-
Sindh,Hyderabad Division,Hyderabad,Own Account Workers (%),All Areas,33,34.3,21.5
Sindh,Hyderabad Division,Hyderabad,Contributing Family  Workers (%),All Areas,11.3,9.1,30.8
Sindh,Hyderabad Division,Hyderabad,Employees (%),All Areas,54.4,55.1,47.7
Sindh,Hyderabad Division,Hyderabad,Literacy Rate (%),Rural,48.1,62.7,31
Sindh,Hyderabad Division,Hyderabad,Literacy Rate (%),Urban,75.6,80.1,70.9
Sindh,Hyderabad Division,Hyderabad,Underemployment Rate (%),Rural,2.7,0.6,11.6
Sindh,Hyderabad Division,Hyderabad,Underemployment Rate (%),Urban,0.4,0.1,3.7
Sindh,Hyderabad Division,Hyderabad,Mean Hours Work/Per Week,Rural,45.8,48.3,35.3
Sindh,Hyderabad Division,Hyderabad,Mean Hours Work/Per Week,Urban,50.1,51,39.9
Sindh,Hyderabad Division,Hyderabad,Total Population,Rural,373410,193286,180086
Sindh,Hyderabad Division,Hyderabad,Total Population,Urban,1826518,951930,874321
Sindh,Hyderabad Division,Jamshoro,Working Age Population,Rural,396000,207000,190000
Sindh,Hyderabad Division,Jamshoro,Working Age Population,Urban,322000,174000,148000
Sindh,Hyderabad Division,Jamshoro,Labour Force,Rural,191800,155000,36800
Sindh,Hyderabad Division,Jamshoro,Labour Force,Urban,161800,137000,24800
Sindh,Hyderabad Division,Jamshoro,Employed,Rural,191100,154200,36800
Sindh,Hyderabad Division,Jamshoro,Employed,Urban,143300,129400,13900
Sindh,Hyderabad Division,Jamshoro,Unemployed,Rural,700,700,-
Sindh,Hyderabad Division,Jamshoro,Unemployed,Urban,18500,7600,10900
Sindh,Hyderabad Division,Jamshoro,Refined Participation Rate (%),Rural,48.4,75,19.4
Sindh,Hyderabad Division,Jamshoro,Refined Participation Rate (%),Urban,50.2,78.8,16.7
Sindh,Hyderabad Division,Jamshoro,Unemployment Rate (%),Rural,0.4,0.5,-
Sindh,Hyderabad Division,Jamshoro,Unemployment Rate (%),Urban,11.4,5.5,44
Sindh,Hyderabad Division,Jamshoro,Employment to Population Ratio (%),Rural,48.2,74.7,19.4
Sindh,Hyderabad Division,Jamshoro,Employment to Population Ratio (%),Urban,44.5,74.4,9.4
Sindh,Hyderabad Division,Jamshoro,Agriculture Employee (%),Rural,50.1,47.1,62.8
Sindh,Hyderabad Division,Jamshoro,Agriculture Employee (%),Urban,3.7,3.9,2.2
Sindh,Hyderabad Division,Jamshoro,Industry Employee (%),Rural,25.7,27.9,16.6
Sindh,Hyderabad Division,Jamshoro,Industry Employee (%),Urban,42.7,41.8,50.4
Sindh,Hyderabad Division,Jamshoro,Services Employee (%),Rural,24.2,25.1,20.5
Sindh,Hyderabad Division,Jamshoro,Services Employee (%),Urban,53.6,54.3,47.4
Sindh,Hyderabad Division,Jamshoro,Formal Activity (%),Rural,24.8,29,-
Sindh,Hyderabad Division,Jamshoro,Formal Activity (%),Urban,22.1,22.3,21.1
Sindh,Hyderabad Division,Jamshoro,Informal Activity (%),Rural,75.2,71,100
Sindh,Hyderabad Division,Jamshoro,Informal Activity (%),Urban,77.9,77.7,78.9
Sindh,Hyderabad Division,Jamshoro,Employers (%),All Areas,0.4,0.4,0.2
Sindh,Hyderabad Division,Jamshoro,Own Account Workers (%),All Areas,40.2,44,18.7
Sindh,Hyderabad Division,Jamshoro,Contributing Family  Workers (%),All Areas,20.7,15.4,50.5
Sindh,Hyderabad Division,Jamshoro,Employees (%),All Areas,38.7,40.2,30.6
Sindh,Hyderabad Division,Jamshoro,Literacy Rate (%),Rural,49.8,61.7,36.9
Sindh,Hyderabad Division,Jamshoro,Literacy Rate (%),Urban,74,82.6,64
Sindh,Hyderabad Division,Jamshoro,Underemployment Rate (%),Rural,0.2,0.2,0.3
Sindh,Hyderabad Division,Jamshoro,Underemployment Rate (%),Urban,0.2,-,1.6
Sindh,Hyderabad Division,Jamshoro,Mean Hours Work/Per Week,Rural,47.1,47.8,43.8
Sindh,Hyderabad Division,Jamshoro,Mean Hours Work/Per Week,Urban,51.7,52.7,42.6
Sindh,Hyderabad Division,Jamshoro,Total Population,Rural,561287,297130,264113
Sindh,Hyderabad Division,Jamshoro,Total Population,Urban,432621,225939,206589
Sindh,Hyderabad Division,Matiri,Working Age Population,Rural,436000,231000,205000
Sindh,Hyderabad Division,Matiri,Working Age Population,Urban,142000,76000,66000
Sindh,Hyderabad Division,Matiri,Labour Force,Rural,239500,176000,63500
Sindh,Hyderabad Division,Matiri,Labour Force,Urban,59300,54200,5100
Sindh,Hyderabad Division,Matiri,Employed,Rural,231500,174500,57000
Sindh,Hyderabad Division,Matiri,Employed,Urban,55500,51500,4100
Sindh,Hyderabad Division,Matiri,Unemployed,Rural,7900,1500,6500
Sindh,Hyderabad Division,Matiri,Unemployed,Urban,3800,2800,1000
Sindh,Hyderabad Division,Matiri,Refined Participation Rate (%),Rural,55,76.3,31
Sindh,Hyderabad Division,Matiri,Refined Participation Rate (%),Urban,41.8,71.1,7.8
Sindh,Hyderabad Division,Matiri,Unemployment Rate (%),Rural,3.3,0.8,10.2
Sindh,Hyderabad Division,Matiri,Unemployment Rate (%),Urban,6.4,5.1,20.5
Sindh,Hyderabad Division,Matiri,Employment to Population Ratio (%),Rural,53.2,75.7,27.8
Sindh,Hyderabad Division,Matiri,Employment to Population Ratio (%),Urban,39.1,67.5,6.2
Sindh,Hyderabad Division,Matiri,Agriculture Employee (%),Rural,63.5,60.7,72
Sindh,Hyderabad Division,Matiri,Agriculture Employee (%),Urban,14.9,14.9,15
Sindh,Hyderabad Division,Matiri,Industry Employee (%),Rural,14.1,13.8,14.9
Sindh,Hyderabad Division,Matiri,Industry Employee (%),Urban,32.6,31.5,46.6
Sindh,Hyderabad Division,Matiri,Services Employee (%),Rural,22.4,25.5,13.1
Sindh,Hyderabad Division,Matiri,Services Employee (%),Urban,52.5,53.6,38.4
Sindh,Hyderabad Division,Matiri,Formal Activity (%),Rural,25.7,26.7,21.1
Sindh,Hyderabad Division,Matiri,Formal Activity (%),Urban,23.8,23.8,24.3
Sindh,Hyderabad Division,Matiri,Informal Activity (%),Rural,74.3,73.3,78.9
Sindh,Hyderabad Division,Matiri,Informal Activity (%),Urban,76.2,76.2,75.7
Sindh,Hyderabad Division,Matiri,Employers (%),All Areas,0.1,0.2,-
Sindh,Hyderabad Division,Matiri,Own Account Workers (%),All Areas,36.2,42.5,12.9
Sindh,Hyderabad Division,Matiri,Contributing Family  Workers (%),All Areas,14.5,6.3,44.9
Sindh,Hyderabad Division,Matiri,Employees (%),All Areas,49.2,51,42.2
Sindh,Hyderabad Division,Matiri,Literacy Rate (%),Rural,48.9,61.7,34.5
Sindh,Hyderabad Division,Matiri,Literacy Rate (%),Urban,68.9,78.2,58
Sindh,Hyderabad Division,Matiri,Underemployment Rate (%),Rural,3.1,1.8,7.1
Sindh,Hyderabad Division,Matiri,Underemployment Rate (%),Urban,-,-,-
Sindh,Hyderabad Division,Matiri,Mean Hours Work/Per Week,Rural,43.8,46.9,34.5
Sindh,Hyderabad Division,Matiri,Mean Hours Work/Per Week,Urban,50.9,51.8,39.2
Sindh,Hyderabad Division,Sujawal,Working Age Population,Rural,449000,238000,211000
Sindh,Hyderabad Division,Sujawal,Working Age Population,Urban,55000,29000,26000
Sindh,Hyderabad Division,Sujawal,Labour Force,Rural,200300,175600,24700
Sindh,Hyderabad Division,Sujawal,Labour Force,Urban,19300,19100,200
Sindh,Hyderabad Division,Sujawal,Employed,Rural,190300,165600,24700
Sindh,Hyderabad Division,Sujawal,Employed,Urban,17600,17400,200
Sindh,Hyderabad Division,Sujawal,Unemployed,Rural,10000,10000,-
Sindh,Hyderabad Division,Sujawal,Unemployed,Urban,1800,1800,-
Sindh,Hyderabad Division,Sujawal,Refined Participation Rate (%),Rural,44.7,73.9,11.7
Sindh,Hyderabad Division,Sujawal,Refined Participation Rate (%),Urban,34.9,65.1,0.7
Sindh,Hyderabad Division,Sujawal,Unemployment Rate (%),Rural,5,5.7,-
Sindh,Hyderabad Division,Sujawal,Unemployment Rate (%),Urban,9.2,9.3,-
Sindh,Hyderabad Division,Sujawal,Employment to Population Ratio (%),Rural,42.4,69.7,11.7
Sindh,Hyderabad Division,Sujawal,Employment to Population Ratio (%),Urban,31.7,59.1,0.7
Sindh,Hyderabad Division,Sujawal,Agriculture Employee (%),Rural,72.3,70.5,84
Sindh,Hyderabad Division,Sujawal,Agriculture Employee (%),Urban,13.4,13.6,-
Sindh,Hyderabad Division,Sujawal,Industry Employee (%),Rural,10.5,10.3,11.4
Sindh,Hyderabad Division,Sujawal,Industry Employee (%),Urban,28.8,28.1,100
